Claim_ID,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Income,Location_City,Location_State,Location_Zipcode,Policy_Number,Policy_Type,Policy_Start_Date,Policy_End_Date,Policy_Premium,Agent_ID,Agent_Name,Claim_Date,Claim_Amount,Claim_Status,Claim_Reason,Previous_Claims,Accident_Type,Fraud_Flag,Policy_Age_Days,Days_Since_Policy_Start,Customer_Lifetime_Days,Claim_to_Premium_Ratio,Premium_to_Claim_Ratio,Claim_Frequency,Customer_Value_Index,Indicator_Claim_Before_Policy,Indicator_Recent_Policy_High_Claim,Indicator_Claim_Exceeds_Premium,Indicator_Extreme_Claim,Indicator_Repeat_Claimant,Risk_Score,Customer_Segment,Rule_Fraud,ML_IsoForest,ML_LOF,ML_DBSCAN,ML_OCSVM,Fraud_Probability,Fraud_Risk_Score,Suspicious_Flag
CLM00001,C00154,Mary Smith,52.0,Female,57234.71397657631,New York,NY,10001,P00018,Auto,2022-10-25,2023-10-25,21399.0,A025,Agent Elizabeth Jones,2023-03-29,36120.0,Pending,Theft,0,Theft,0,155,155,365,1.6879293424926398,0.5924418604651163,5,20.92601535275104,0,0,1,0,0,25,VIP,0,0,0,0,0,0.0,0,0
CLM00002,C00443,Mary Moore,54.0,Male,90460.5971281605,Los Angeles,CA,90001,P00283,Auto,2023-09-23,2024-09-22,10628.0,A015,Agent Jessica Johnson,2024-08-20,158643.0,Pending,Collision,7,Multi Vehicle,0,332,332,365,14.926891230711329,0.0669931859584097,5,18.604475417549786,0,0,1,1,1,35,High Value,0,1,0,0,0,0.2,20,0
CLM00003,C00240,John Williams,41.0,Male,55317.26086101639,Los Angeles,CA,90001,P00274,Health,2024-06-22,2025-06-22,8959.0,A040,Agent Charles Martin,2024-11-18,192080.0,Pending,Medical Procedure,0,Medical Treatment,0,149,149,365,21.43989284518361,0.0466420241566014,1,20.021254164725256,0,0,1,1,0,15,Regular,0,0,0,0,0,0.0,0,0
CLM00004,C00241,John Moore,68.0,Male,75348.69458305818,Houston,TX,77001,P00239,Home,2023-09-19,2024-09-18,39872.0,A073,Agent Karen Wilson,2024-09-15,337549.0,Pending,Fire,1,Fire,0,362,362,365,8.465815609951846,0.118122109678891,7,21.13016430144688,0,0,1,1,0,25,High Fraud Risk,0,0,1,0,1,0.3,30,0
CLM00005,C00525,Elizabeth Anderson,37.0,Female,70851.2008717193,Los Angeles,CA,90001,P00459,Auto,2022-04-13,2023-04-13,17608.0,A029,Agent Linda Wilson,2022-05-16,148748.0,Pending,Collision,1,Multi Vehicle,0,33,33,365,8.447751022262608,0.1183747008363137,3,20.25129863871966,0,0,1,1,0,25,VIP,0,0,0,0,0,0.0,0,0
CLM00006,C00249,Richard Rodriguez,38.0,Male,50685.40492859486,New York,NY,10001,P00076,Home,2025-07-03,2026-07-03,63532.0,A046,Agent Richard Brown,2025-11-20,144466.0,Pending,Fire,3,Fire,0,140,140,365,2.273909211106214,0.4397712956681849,7,20.506397911982862,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00007,C00191,Robert Gonzalez,48.0,Male,21734.39510684404,Chicago,IL,60601,P00760,Auto,2022-02-02,2023-02-02,43078.0,A066,Agent Susan Martin,2022-09-03,245231.0,Approved,Natural Disaster,3,Single Vehicle,0,213,213,365,5.69272018199545,0.175662946364856,5,19.27112466075234,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00008,C00261,William Johnson,19.0,Female,48754.24941518054,Los Angeles,CA,90001,P00668,Home,2024-02-09,2025-02-08,7445.0,A060,Agent Mary Gonzalez,2024-12-09,171244.0,Pending,Fire,0,Fire,1,304,304,365,23.001208865010074,0.0434759758006119,3,19.70984558799113,0,0,1,1,0,35,High Fraud Risk,0,1,1,0,1,0.5,50,1
CLM00009,C00388,Robert Moore,29.0,Female,66284.94665190548,Houston,TX,77001,P00403,Auto,2021-12-14,2022-12-14,9955.0,A070,Agent Nancy Lopez,2022-11-30,166805.0,Pending,Theft,6,Theft,0,351,351,365,16.755901557006528,0.0596804652138724,5,18.36163817945475,0,0,1,1,1,35,High Fraud Risk,0,1,0,0,0,0.2,20,0
CLM00010,C00513,Christopher Miller,31.0,Male,31753.92597329417,New York,NY,10001,P00674,Auto,2025-05-27,2026-05-27,70542.0,A072,Agent Elizabeth Martinez,2025-07-19,89497.0,Pending,Theft,2,Theft,0,53,53,365,1.2687051685520685,0.7882051912354604,6,20.43112291814564,0,0,1,1,0,25,VIP,0,0,0,0,0,0.0,0,0
CLM00011,C00114,Robert Davis,66.0,Male,55484.47399026929,New York,NY,10001,P00760,Auto,2024-12-03,2025-12-03,43207.0,A049,Agent William Anderson,2025-07-15,126225.0,Pending,Natural Disaster,5,Single Vehicle,1,224,224,365,2.9214016247367325,0.3423014458308576,1,19.80585684409209,0,0,1,1,1,25,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00012,C00172,Susan Garcia,46.0,Female,31505.03627573086,New York,NY,10001,P00750,Auto,2025-05-20,2026-05-20,23441.0,A041,Agent David Rodriguez,2025-12-17,187219.0,Pending,Property Damage,5,Single Vehicle,0,211,211,365,7.986817968516702,0.1252063091887041,6,18.628385137596634,0,0,1,1,1,35,VIP,0,0,0,0,0,0.0,0,0
CLM00013,C00222,Robert Martin,36.0,Male,62218.45179419732,Houston,TX,77001,P00245,Auto,2024-07-09,2025-07-09,63205.0,A050,Agent Elizabeth Garcia,2025-05-08,210053.0,Pending,Theft,4,Theft,1,303,303,365,3.323360493631833,0.30090024898478,3,20.48310766714141,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00014,C00127,Thomas Gonzalez,27.0,Female,67513.96036691344,Los Angeles,CA,90001,P00484,Auto,2024-04-07,2025-04-07,21605.0,A019,Agent Karen Davis,2025-03-30,133612.0,Rejected,Natural Disaster,5,Single Vehicle,0,357,357,365,6.184309187688036,0.1616995479447953,5,19.30901025897824,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00015,C00409,Richard Johnson,35.0,Male,54166.12500413446,Houston,TX,77001,P00808,Auto,2022-09-27,2023-09-27,24745.0,A049,Agent Richard Gonzalez,2022-11-12,220223.0,Rejected,Natural Disaster,1,Single Vehicle,1,46,46,365,8.899696908466357,0.1123633771222806,3,20.323042540428347,0,0,1,1,0,25,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00016,C00428,William Williams,35.0,Male,97045.56369017877,New York,NY,10001,P00378,Home,2022-01-30,2023-01-30,59146.0,A076,Agent Richard Miller,2022-12-16,319280.0,Pending,Fire,1,Fire,1,320,320,365,5.398167247151117,0.1852480581307942,3,21.7775529381876,0,0,1,1,0,25,High Fraud Risk,0,1,0,0,0,0.2,20,0
CLM00017,C00217,Sarah Gonzalez,44.0,Female,38845.78142088199,Los Angeles,CA,90001,P00596,Auto,2024-01-06,2025-01-05,68261.0,A005,Agent William Jones,2024-04-18,10194.0,Pending,Collision,0,Multi Vehicle,0,103,103,365,0.1493385681428634,6.696193839513439,4,21.69844863616345,0,0,0,0,0,10,High Value,0,0,0,0,1,0.15,15,0
